City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,ishigaki,24.3448,124.1572,29.07,84,75,3.09,JP,2023-07-22 11:34:36
241,cuiaba,-15.5961,-56.0967,31.96,27,0,6.17,BR,2023-07-22 11:34:36
242,chinde,26.8418,88.0763,19.74,93,30,1.33,NP,2023-07-22 11:34:36
243,newman,37.3138,-121.0208,29.58,10,42,1.8,US,2023-07-22 11:34:21
244,mugia,43.1041,-9.2179,23.84,67,92,5.86,ES,2023-07-22 11:34:36
245,prievidza,48.7745,18.6275,24.56,56,59,1.57,SK,2023-07-22 11:34:37
246,dolinsk,47.35,142.8,18.29,84,100,3.67,RU,2023-07-22 11:34:37
247,badger,64.8,-147.5333,23.96,71,0,1.54,US,2023-07-22 11:31:12
248,lagunas,-5.2269,-75.6753,35.01,34,14,0.89,PE,2023-07-22 11:31:12
249,alaghsas,17.0187,8.0168,39.94,27,20,4.12,NE,2023-07-22 11:31:12
250,swift current,50.2834,-107.8014,25.45,47,0,1.03,CA,2023-07-22 11:34:37
251,dalnegorsk,44.5604,135.5701,18.48,94,100,0.13,RU,2023-07-22 11:31:13
252,sinop,41.7711,34.8709,20.4,82,0,0.54,TR,2023-07-22 11:34:38
253,pitimbu,-7.4706,-34.8086,28.33,76,14,7.34,BR,2023-07-22 11:34:38
254,tambacounda,13.7539,-13.7586,35.03,55,75,4.12,SN,2023-07-22 11:34:38
255,yeniseysk,58.4497,92.1703,20.16,75,72,1.78,RU,2023-07-22 11:34:38
256,mata-utu,-13.2816,-176.1745,28.16,76,91,3.5,WF,2023-07-22 11:34:38
257,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,94,0,3.0,RU,2023-07-22 11:31:15
258,okulovka,58.4008,33.2908,17.18,57,85,2.4,RU,2023-07-22 11:34:39
259,sampit,-2.5333,112.95,23.02,96,71,1.35,ID,2023-07-22 11:34:39
260,howard springs,-12.497,131.047,22.95,44,6,2.79,AU,2023-07-22 11:34:39
261,noosa heads,-26.3833,153.15,11.3,75,11,3.27,AU,2023-07-22 11:34:39
262,new norfolk,-42.7826,147.0587,9.4,95,85,1.19,AU,2023-07-22 11:34:39
263,yaren,-0.5472,166.916,28.09,76,100,4.88,NR,2023-07-22 11:34:39
264,margate,51.3813,1.3862,14.83,90,100,4.92,GB,2023-07-22 11:31:17
265,pangkalanbuun,-2.6833,111.6167,23.12,97,50,0.87,ID,2023-07-22 11:31:17
266,gadzhiyevo,69.2551,33.3362,9.62,80,97,7.43,RU,2023-07-22 11:34:40
267,armacao de buzios,-22.7469,-41.8817,22.09,72,0,5.95,BR,2023-07-22 11:34:10
268,nova sintra,14.8667,-24.7167,23.14,78,22,8.61,CV,2023-07-22 11:31:18
269,anadyr,64.75,177.4833,13.28,87,75,2.0,RU,2023-07-22 11:34:41
270,cartagena del chaira,1.3349,-74.8429,26.72,77,68,2.43,CO,2023-07-22 11:34:41
271,shahpur,16.7,76.8333,24.6,81,100,7.12,IN,2023-07-22 11:34:41
272,neustrelitz,53.3667,13.0833,17.95,56,100,4.76,DE,2023-07-22 11:34:41
273,marksville,31.128,-92.0662,34.43,55,64,2.75,US,2023-07-22 11:34:41
274,zaysan,47.4667,84.8667,22.47,43,6,3.5,KZ,2023-07-22 11:34:41
